,sl_no,ssc_p,hsc_p,degree_p,etest_p,mba_p,salary,gender,ssc_b,hsc_b,hsc_s,degree_t,workex,specialisation,status
0,1.0,67.0,91.0,58.0,55.0,58.8,270000.0,M,Others,Others,Commerce,Sci&Tech,No,Mkt&HR,Placed
1,2.0,79.33,78.33,77.48,86.5,66.28,200000.0,M,Central,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
2,3.0,65.0,68.0,64.0,75.0,57.8,250000.0,M,Central,Central,Arts,Comm&Mgmt,No,Mkt&Fin,Placed
3,4.0,56.0,52.0,52.0,66.0,59.43,0.0,M,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
4,5.0,85.8,73.6,73.3,96.8,55.5,425000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
5,6.0,55.0,49.8,67.25,55.0,51.58,0.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Not Placed
6,7.0,46.0,49.2,79.0,74.28,53.29,0.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
7,8.0,82.0,64.0,66.0,67.0,62.14,252000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&Fin,Placed
8,9.0,73.0,79.0,72.0,91.34,61.29,231000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
9,10.0,58.0,70.0,61.0,54.0,52.21,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
10,11.0,58.0,61.0,60.0,62.0,60.85,260000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
11,12.0,69.6,68.4,78.3,60.0,63.7,250000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
12,13.0,47.0,55.0,65.0,62.0,65.04,0.0,F,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
13,14.0,77.0,87.0,59.0,68.0,68.63,218000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
14,15.0,62.0,47.0,50.0,76.0,54.96,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
15,16.0,65.0,75.0,69.0,72.0,64.66,200000.0,F,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
16,17.0,63.0,66.2,65.6,60.0,62.54,300000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
17,18.0,55.0,67.0,64.0,60.0,67.28,0.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
18,19.0,63.0,66.0,64.0,68.0,64.08,0.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
19,20.0,60.0,67.0,70.0,50.48,77.89,236000.0,M,Others,Others,Arts,Comm&Mgmt,Yes,Mkt&Fin,Placed
20,21.0,62.0,65.0,66.0,50.0,56.7,265000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
21,22.0,79.0,76.0,85.0,95.0,69.06,393000.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
22,23.0,69.8,60.8,72.23,55.53,68.81,360000.0,F,Others,Others,Science,Sci&Tech,No,Mkt&HR,Placed
23,24.0,77.4,60.0,64.74,92.0,63.62,300000.0,F,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
24,25.0,76.5,97.7,78.86,97.4,74.01,360000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
25,26.0,52.58,54.6,50.2,76.0,65.33,0.0,F,Others,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Not Placed
26,27.0,71.0,79.0,66.0,94.0,57.55,240000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
27,28.0,63.0,67.0,66.0,68.0,57.69,265000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
28,29.0,76.76,76.5,67.5,73.35,64.15,350000.0,M,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
29,30.0,62.0,67.0,58.0,77.0,51.29,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
30,31.0,64.0,73.5,73.0,52.0,56.7,250000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
31,32.0,67.0,53.0,65.0,64.0,58.32,0.0,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
32,33.0,61.0,81.0,66.4,50.89,62.21,278000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
33,34.0,87.0,65.0,81.0,88.0,72.78,260000.0,F,Others,Others,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
34,35.0,62.0,51.0,52.0,68.44,62.77,0.0,M,Others,Others,Science,Others,No,Mkt&HR,Not Placed
35,36.0,69.0,78.0,72.0,71.0,62.74,300000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
36,37.0,51.0,44.0,57.0,64.0,51.45,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
37,38.0,79.0,76.0,65.6,58.0,55.47,320000.0,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Placed
38,39.0,73.0,58.0,66.0,53.7,56.86,240000.0,F,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
39,40.0,81.0,68.0,64.0,93.0,62.56,411000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
40,41.0,78.0,77.0,80.0,60.0,66.72,287000.0,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
41,42.0,74.0,63.16,65.0,65.0,69.76,0.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Not Placed
42,43.0,49.0,39.0,65.0,63.0,51.21,0.0,M,Others,Central,Science,Others,No,Mkt&Fin,Not Placed
43,44.0,87.0,87.0,68.0,95.0,62.9,300000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
44,45.0,77.0,73.0,81.0,89.0,69.7,200000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
45,46.0,76.0,64.0,72.0,58.0,66.53,0.0,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
46,47.0,70.89,71.98,65.6,68.0,71.63,0.0,F,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
47,48.0,63.0,60.0,57.0,78.0,54.55,204000.0,M,Central,Central,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
48,49.0,63.0,62.0,68.0,64.0,62.46,250000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
49,50.0,50.0,37.0,52.0,65.0,56.11,0.0,F,Others,Others,Arts,Others,No,Mkt&HR,Not Placed
50,51.0,75.2,73.2,68.4,65.0,62.98,200000.0,F,Central,Central,Science,Comm&Mgmt,No,Mkt&HR,Placed
51,52.0,54.4,61.12,56.2,67.0,62.65,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
52,53.0,40.89,45.83,53.0,71.2,65.49,0.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
53,54.0,80.0,70.0,72.0,87.0,71.04,450000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&HR,Placed
54,55.0,74.0,60.0,69.0,78.0,65.56,216000.0,F,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
55,56.0,60.4,66.6,65.0,71.0,52.71,220000.0,M,Central,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
56,57.0,63.0,71.4,61.4,68.0,66.88,240000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
57,58.0,68.0,76.0,74.0,80.0,63.59,360000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
58,59.0,74.0,62.0,68.0,74.0,57.99,268000.0,M,Central,Others,Science,Comm&Mgmt,No,Mkt&Fin,Placed
59,60.0,52.6,65.58,72.11,57.6,56.66,265000.0,M,Central,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
60,61.0,74.0,70.0,72.0,60.0,57.24,260000.0,M,Central,Central,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
61,62.0,84.2,73.4,66.89,61.6,62.48,300000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
62,63.0,86.5,64.2,67.4,59.0,59.69,240000.0,F,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
63,64.0,61.0,70.0,64.0,68.5,59.5,0.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
64,65.0,80.0,73.0,75.0,61.0,58.78,240000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
65,66.0,54.0,47.0,57.0,89.69,57.1,0.0,M,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Not Placed
66,67.0,83.0,74.0,66.0,68.92,58.46,275000.0,M,Others,Others,Science,Comm&Mgmt,No,Mkt&HR,Placed
67,68.0,80.92,78.5,67.0,68.71,60.99,275000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
68,69.0,69.7,47.0,72.7,79.0,59.24,0.0,F,Central,Central,Commerce,Sci&Tech,No,Mkt&HR,Not Placed
69,70.0,73.0,73.0,66.0,70.0,68.07,275000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&Fin,Placed
70,71.0,82.0,61.0,62.0,89.0,65.45,360000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
71,72.0,75.0,70.29,71.0,95.0,66.94,240000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
72,73.0,84.86,67.0,78.0,95.5,68.53,240000.0,M,Others,Others,Science,Comm&Mgmt,No,Mkt&Fin,Placed
73,74.0,64.6,83.83,71.72,86.0,59.75,218000.0,M,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
74,75.0,56.6,64.8,70.2,84.27,67.2,336000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
75,76.0,59.0,62.0,77.5,74.0,67.0,0.0,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
76,77.0,66.5,70.4,71.93,61.0,64.27,230000.0,F,Others,Central,Arts,Comm&Mgmt,No,Mkt&Fin,Placed
77,78.0,64.0,80.0,65.0,69.0,57.65,500000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
78,79.0,84.0,90.9,64.5,86.04,59.42,270000.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Placed
79,80.0,69.0,62.0,66.0,75.0,67.99,0.0,F,Central,Central,Science,Sci&Tech,No,Mkt&HR,Not Placed
80,81.0,69.0,62.0,69.0,67.0,62.35,240000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Placed
81,82.0,81.7,63.0,67.0,86.0,70.2,300000.0,M,Others,Others,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
82,83.0,63.0,67.0,74.0,82.0,60.44,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
83,84.0,84.0,79.0,68.0,84.0,66.69,300000.0,M,Others,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
84,85.0,70.0,63.0,70.0,55.0,62.0,300000.0,M,Central,Others,Science,Sci&Tech,Yes,Mkt&Fin,Placed
85,86.0,83.84,89.83,77.2,78.74,76.18,400000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
86,87.0,62.0,63.0,64.0,67.0,57.03,220000.0,M,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
87,88.0,59.6,51.0,60.0,75.0,59.08,0.0,M,Central,Central,Science,Others,No,Mkt&HR,Not Placed
88,89.0,66.0,62.0,73.0,58.0,64.36,210000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
89,90.0,84.0,75.0,69.0,62.0,62.36,210000.0,F,Others,Others,Science,Sci&Tech,Yes,Mkt&HR,Placed
90,91.0,85.0,90.0,82.0,92.0,68.03,300000.0,F,Others,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
91,92.0,52.0,57.0,50.8,67.0,62.79,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
92,93.0,60.23,69.0,66.0,72.0,59.47,230000.0,F,Central,Central,Science,Comm&Mgmt,No,Mkt&Fin,Placed
93,94.0,52.0,62.0,54.0,72.0,55.41,0.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Not Placed
94,95.0,58.0,62.0,64.0,53.88,54.97,260000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
95,96.0,73.0,78.0,65.0,95.46,62.16,420000.0,M,Central,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
96,97.0,76.0,70.0,76.0,66.0,64.44,300000.0,F,Central,Central,Science,Comm&Mgmt,Yes,Mkt&Fin,Placed
97,98.0,70.5,62.5,61.0,93.91,69.03,0.0,F,Central,Others,Commerce,Comm&Mgmt,No,Mkt&Fin,Not Placed
98,99.0,69.0,73.0,65.0,70.0,57.31,220000.0,F,Central,Central,Commerce,Comm&Mgmt,No,Mkt&Fin,Placed
99,100.0,54.0,82.0,63.0,50.0,59.47,0.0,M,Central,Others,Commerce,Sci&Tech,No,Mkt&Fin,Not Placed
100,101.0,45.0,57.0,58.0,56.39,64.95,0.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&HR,Not Placed
101,102.0,63.0,72.0,68.0,78.0,60.44,380000.0,M,Central,Central,Commerce,Comm&Mgmt,No,Mkt&HR,Placed
102,103.0,77.0,61.0,68.0,57.5,61.31,300000.0,F,Others,Others,Commerce,Comm&Mgmt,Yes,Mkt&Fin,Placed
103,104.0,73.0,78.0,73.0,85.0,65.83,240000.0,M,Central,Central,Science,Sci&Tech,Yes,Mkt&HR,Placed
104,105.0,69.0,63.0,65.0,55.0,58.23,360000.0,M,Central,Others,Science,Comm&Mgmt,Yes,Mkt&HR,Placed
105,106.0,59.0,64.0,58.0,85.0,55.3,0.0,M,Central,Others,Science,Sci&Tech,No,Mkt&HR,Not Placed
106,107.0,61.08,50.0,54.0,71.0,65.69,0.0,M,Others,Others,Science,Sci&Tech,No,Mkt&Fin,Not Placed
